Ranger Serial Number:,2326-1000047-A
UTC time,Local time,LocationID,PM1 (ug/m3),PM2.5 (ug/m3),PMrsp (ug/m3),PM10 (ug/m3),TSP (ug/m3),Status(f:fail a:aging w:warming-up z:zerocal c:spancal)
2025-08-01 06:12:00,2025-08-01 16:12:00,46,54.0,684.3,3959.9,16888.3,28294.5,
2025-08-01 06:13:00,2025-08-01 16:13:00,46,57.0,725.3,3888.8,14864.5,24508.6,
2025-08-01 06:14:00,2025-08-01 16:14:00,46,58.4,706.7,3458.3,12738.9,20885.6,
2025-08-01 06:15:00,2025-08-01 16:15:00,46,58.5,643.0,2885.2,10611.5,17399.0,
2025-08-01 06:16:00,2025-08-01 16:16:00,46,58.8,614.8,2583.2,9054.0,14729.2,
2025-08-01 06:17:00,2025-08-01 16:17:00,46,58.5,562.0,2222.2,7879.6,12847.6,
2025-08-01 06:18:00,2025-08-01 16:18:00,46,58.9,518.6,1951.2,6797.3,11051.7,
2025-08-01 06:19:00,2025-08-01 16:19:00,46,59.4,522.2,1896.8,6290.9,10140.8,
2025-08-01 06:20:00,2025-08-01 16:20:00,46,56.1,469.8,1696.6,6862.0,11427.6,
2025-08-01 06:21:00,2025-08-01 16:21:00,46,47.8,376.4,1404.3,284502.9,541522.9,
2025-08-01 06:22:00,2025-08-01 16:22:00,46,30.4,281.3,3333.0,138268.4,260510.9,
2025-08-01 06:23:00,2025-08-01 16:23:00,46,79.4,665.8,2788.2,14034.8,24031.7,
2025-08-01 06:24:00,2025-08-01 16:24:00,46,72.5,336.0,589.0,1251.2,1826.7,
2025-08-01 06:25:00,2025-08-01 16:25:00,46,58.4,191.4,304.6,618.0,891.0,
2025-08-01 06:26:00,2025-08-01 16:26:00,46,70.4,376.2,1025.5,4042.1,6715.3,
2025-08-01 06:27:00,2025-08-01 16:27:00,46,89.2,348.4,677.3,1723.1,2639.2,
2025-08-01 06:28:00,2025-08-01 16:28:00,46,66.1,257.7,632.2,1937.1,3083.8,
2025-08-01 06:29:00,2025-08-01 16:29:00,46,48.1,361.6,2141.4,71962.9,135196.0,
2025-08-01 06:30:00,2025-08-01 16:30:00,46,63.4,647.9,3405.9,18899.0,32687.7,
2025-08-01 06:31:00,2025-08-01 16:31:00,46,71.4,521.5,2516.1,19087.6,33934.0,
2025-08-01 06:32:00,2025-08-01 16:32:00,46,26.9,217.9,1268.7,8401.5,14772.1,
2025-08-01 06:33:00,2025-08-01 16:33:00,46,15.7,70.6,232.0,1121.1,1912.1,
2025-08-01 06:34:00,2025-08-01 16:34:00,46,8.8,35.0,90.6,288.8,463.1,
2025-08-01 06:35:00,2025-08-01 16:35:00,46,10.9,48.7,133.4,459.7,747.4,
2025-08-01 06:36:00,2025-08-01 16:36:00,46,16.6,80.1,214.7,721.4,1167.8,
