Customer,Job Site,Make,Model,Serial Number,Unit Number,Inspection Date,Entered Date,SMU,Form,Question Group,Question,Reading,Eval
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO ppm",0,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO2 ppm",0.1,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NOX ppm",0.1,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The CO ppm",1,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO ppm",2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO2 ppm",0.2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NOX ppm",2.2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The CO ppm",1,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO ppm",2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO2 ppm",1,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NOX ppm",3,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,HV Diesel Particulate Emission Testing,Emmissions Particulate Test Record,Record the Engine Oil temp 70-75c,85,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,21/04/2025,23/04/2025,7578,HV Diesel Particulate Emission Testing,Emmissions Particulate Test Record,"HV Diesel particulate, mg/m3 EC",3850,X
