Device Name,D3 - 2934673 Vent 3,,,,,,,,,,,,,
Device Model,Kestrel D3 FIRE,,,,,,,,,,,,,
Serial Number,2934673,,,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Station Pressure,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°C,°C,%,mb,°C,°C,,,,,,,,
8/1/2025 10:25,20.2,15.8,63.1,1053.9,19.8,13,point,,,,,,,
8/1/2025 10:30,20.7,15.8,60.6,1050.7,20.4,12.8,point,,,,,,,
8/1/2025 10:35,20.9,16,60.5,1050.4,20.7,13,point,,,,,,,
8/1/2025 10:40,21.1,16.2,60.3,1050.4,20.8,13.1,point,,,,,,,
8/1/2025 10:45,20.8,15.9,60.3,1050.4,20.4,12.8,point,,,,,,,
8/1/2025 10:50,20.7,15.8,60.5,1050.3,20.3,12.8,point,,,,,,,
8/1/2025 10:55,20.5,15.8,61.8,1050.1,20.1,12.9,point,,,,,,,
8/1/2025 11:00,20.4,15.7,61.7,1050.4,20,12.8,point,,,,,,,
8/1/2025 11:05,20.6,16.1,62.9,1050,20.3,13.3,point,,,,,,,
8/1/2025 11:10,20.8,15.8,59.7,1050.3,20.3,12.6,point,,,,,,,
8/1/2025 11:15,20.8,15.6,58.4,1051.2,20.3,12.3,point,,,,,,,
8/1/2025 11:20,20.9,16.2,61.4,1051.2,20.6,13.2,point,,,,,,,
8/1/2025 11:25,20.9,16.3,61.6,1051.4,20.7,13.3,point,,,,,,,
8/1/2025 11:30,21.1,16.3,61.5,1054.8,20.8,13.4,point,,,,,,,
8/1/2025 11:35,21.3,16.6,62.1,1050.1,21.3,13.8,point,,,,,,,
8/1/2025 11:40,21.7,16.8,61.2,1049.9,21.6,13.9,point,,,,,,,
8/1/2025 11:45,21.7,16.8,60.9,1050,21.7,13.8,point,,,,,,,
8/1/2025 11:50,21.5,16.6,61.2,1049.3,21.4,13.7,point,,,,,,,
8/1/2025 11:55,21.4,16.5,61.4,1048.3,21.3,13.6,point,,,,,,,
8/1/2025 12:00,20.5,15,55.8,1048,19.9,11.4,point,,,,,,,
8/1/2025 12:05,19.1,13.4,52.4,1048.3,17.6,9.1,point,,,,,,,
8/1/2025 12:10,17.9,13.4,60.5,1048.4,16.7,10.2,point,,,,,,,
8/1/2025 12:15,17.3,12.4,56,1048.5,15.7,8.4,point,,,,,,,
8/1/2025 12:20,17.1,12.3,57.1,1048,15.6,8.5,point,,,,,,,
8/1/2025 12:25,17,12.4,57.9,1048.2,15.6,8.6,point,,,,,,,
8/1/2025 12:30,17,12.4,58.1,1047.9,15.6,8.7,point,,,,,,,
8/1/2025 12:35,17,12.4,58.1,1047.9,15.6,8.7,point,,,,,,,
8/1/2025 12:40,17,12.4,58.3,1047.8,15.6,8.7,point,,,,,,,
8/1/2025 12:45,16.9,12.3,58.3,1047.5,15.6,8.7,point,,,,,,,
8/1/2025 12:50,17,12.4,58.5,1047.5,15.6,8.8,point,,,,,,,
8/1/2025 12:55,17,12.4,58.5,1047.4,15.6,8.8,point,,,,,,,
8/1/2025 13:00,17,12.4,58.5,1047.4,15.6,8.8,point,,,,,,,
8/1/2025 13:05,17,12.4,58.5,1047.2,15.6,8.8,point,,,,,,,
8/1/2025 13:10,17,12.4,58.6,1046.8,15.6,8.8,point,,,,,,,
8/1/2025 13:15,16.9,12.3,58.5,1046.7,15.6,8.8,point,,,,,,,
8/1/2025 13:20,16.9,12.3,58.7,1047,15.6,8.8,point,,,,,,,
8/1/2025 13:25,17,12.4,58.7,1046.9,15.6,8.8,point,,,,,,,
8/1/2025 13:30,17,12.4,58.7,1046.6,15.6,8.8,point,,,,,,,
8/1/2025 13:35,17,12.5,59.4,1046.9,15.6,9,point,,,,,,,
8/1/2025 13:40,17,12.4,58.8,1046.9,15.6,8.8,point,,,,,,,
8/1/2025 13:45,17,12.4,58.9,1047.2,15.6,8.9,point,,,,,,,
8/1/2025 13:50,16.9,12.3,58.8,1046.5,15.6,8.8,point,,,,,,,
8/1/2025 13:55,17,12.4,58.8,1046.6,15.6,8.9,point,,,,,,,
8/1/2025 14:00,17,12.4,58.8,1046.3,15.6,8.8,point,,,,,,,
8/1/2025 14:05,17,12.4,58.7,1046.3,15.7,8.9,point,,,,,,,
8/1/2025 14:10,17,12.4,58.5,1046.5,15.6,8.8,point,,,,,,,
8/1/2025 14:15,17,12.4,58.3,1046.4,15.6,8.7,point,,,,,,,
8/1/2025 14:20,17,12.4,58.2,1045.9,15.6,8.7,point,,,,,,,
8/1/2025 14:25,17,12.4,58.1,1046.2,15.6,8.7,point,,,,,,,
8/1/2025 14:30,17,12.4,58,1046.3,15.6,8.7,point,,,,,,,
8/1/2025 14:35,16.9,12.3,57.8,1046.2,15.6,8.6,point,,,,,,,
8/1/2025 14:40,17,12.2,57.1,1046.1,15.6,8.4,point,,,,,,,
8/1/2025 14:45,17,12.2,56.9,1046.1,15.6,8.4,point,,,,,,,
8/1/2025 14:50,17,12.3,57.5,1046.2,15.6,8.5,point,,,,,,,
8/1/2025 14:55,17,12.3,57.9,1046.3,15.6,8.6,point,,,,,,,
8/1/2025 15:00,17,12.4,58.1,1046.2,15.6,8.7,point,,,,,,,
8/1/2025 15:05,17,12.4,58.3,1045.8,15.7,8.8,point,,,,,,,
8/1/2025 15:10,17,12.4,58.8,1045.9,15.7,8.9,point,,,,,,,
8/1/2025 15:15,17,12.5,59.1,1045.9,15.7,9,point,,,,,,,
8/1/2025 15:20,17,12.5,59.1,1046,15.7,9,point,,,,,,,
8/1/2025 15:25,17,12.5,59,1046,15.7,9,point,,,,,,,
8/1/2025 15:30,17,12.4,58.8,1046.1,15.7,8.9,point,,,,,,,
8/1/2025 15:35,17,12.5,58.6,1046.3,15.7,8.9,point,,,,,,,
8/1/2025 15:40,17.1,12.5,58.5,1045.8,15.7,8.9,point,,,,,,,
8/1/2025 15:45,17,12.4,58.5,1045.7,15.7,8.8,point,,,,,,,
8/1/2025 15:50,17,12.4,58.5,1046,15.7,8.8,point,,,,,,,
8/1/2025 15:55,17,12.4,58.5,1046,15.7,8.8,point,,,,,,,
8/1/2025 16:00,17.1,12.5,58.6,1046.2,15.8,8.9,point,,,,,,,
8/1/2025 16:05,17.1,12.5,58.5,1045.9,15.7,8.9,point,,,,,,,
8/1/2025 16:10,17,12.4,58.3,1046,15.7,8.8,point,,,,,,,
8/1/2025 16:15,17,12.4,58.4,1045.6,15.7,8.8,point,,,,,,,
8/1/2025 16:20,17,12.4,58.4,1046,15.7,8.8,point,,,,,,,
8/1/2025 16:25,18,14.5,68.6,1046.7,17.2,12.1,point,,,,,,,
8/1/2025 16:30,20.1,17.5,77.5,1047,20.3,16.1,point,,,,,,,
8/1/2025 16:35,21.3,17.2,66.6,1046.9,21.5,14.8,point,,,,,,,
8/1/2025 16:40,21.8,17.2,63.4,1046.5,21.9,14.5,point,,,,,,,
,,,,,,,,,,,,,,
Average,17.00740741,12.4,,,,,,,,,,,,
90th percentile,17.04,12.5,,,,,,,,,,,,
Peak,17.1,12.5,,,,,,,,,,,,
