,Device Name,D3- 2934627 Vent 2,,,,,,,,,,,,,
,Device Model,Kestrel D3 FIRE,,,,,,,,,,,,,
,Serial Number,2934627,,,,,,,,,,,,,
,FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Station Pressure,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
,yyyy-MM-dd hh:mm:ss a,°C,°C,%,mb,°C,°C,,,,,,,,
15:30,8/1/2025 15:30,26.1,20.3,58.6,1046.6,26.6,17.4,point,,,,,,,
15:35,8/1/2025 15:35,28.1,21.9,58.3,1046.6,29.4,19.1,point,,,,,,,
15:40,8/1/2025 15:40,28.9,22.2,56.1,1046.5,30.9,19.3,point,,,,,,,
15:45,8/1/2025 15:45,32.1,23.3,47.5,1046.5,35,19.5,point,,,,,,,
15:50,8/1/2025 15:50,30.3,21.6,46.2,1046.4,31.6,17.5,point,,,,,,,
15:55,8/1/2025 15:55,29.3,21,47.6,1046.6,30.1,17,point,,,,,,,
16:00,8/1/2025 16:00,28.9,21.2,50,1046.6,29.9,17.4,point,,,,,,,
16:05,8/1/2025 16:05,27.9,20.7,52.3,1046.5,28.3,17.2,point,,,,,,,
16:10,8/1/2025 16:10,28,21.2,54.4,1046.6,28.9,18,point,,,,,,,
16:15,8/1/2025 16:15,27.2,20.6,55.4,1046.4,27.9,17.5,point,,,,,,,
16:20,8/1/2025 16:20,25.4,19.5,57.8,1046.7,25.3,16.4,point,,,,,,,
16:25,8/1/2025 16:25,24.3,18.8,59.2,1046.7,24.2,15.9,point,,,,,,,
16:30,8/1/2025 16:30,24.4,18.9,59,1046.1,24.3,15.9,point,,,,,,,
16:35,8/1/2025 16:35,24.2,18.3,56.3,1047.3,23.8,14.9,point,,,,,,,
16:40,8/1/2025 16:40,24.5,19,59.4,1047.1,24.4,16.1,point,,,,,,,
,,,,,,,,,,,,,,,
,Average,28.3030303,21.60909091,,,,,,,,,,,,
,90th percentile,30.28,23,,,,,,,,,,,,
,Peak,32.1,23.3,,,,,,,,,,,,
