Customer,Job Site,Make,Model,Serial Number,Unit Number,Inspection Date,Entered Date,SMU,Form,Question Group,Question,Reading,Eval
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Compartment Temperature,Record the Engine Oil temp 70-75c,75,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The CO ppm",31,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO ppm",27,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO2 ppm",41,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NOX ppm",68,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The CO ppm",73,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO ppm",144,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO2 ppm",66,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NOX ppm",210,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The CO ppm",106,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO ppm",210,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO2 ppm",63,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NOX ppm",273,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,HV Diesel Particulate Emission Testing,Emmissions Particulate Test Record,Record the Engine Oil temp 70-75c,75,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG20URE0041,LD079,23/02/2025,26/02/2025,9576,HV Diesel Particulate Emission Testing,Emmissions Particulate Test Record,"HV Diesel particulate, mg/m3 EC",0,A
