,Device Name,Vent 5 - 3062418,,,,,,,,,,,,,
,Device Model,Kestrel D3 FIRE,,,,,,,,,,,,,
,Serial Number,3062418,,,,,,,,,,,,,
,FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Station Pressure,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
,yyyy-MM-dd hh:mm:ss a,°C,°C,%,mb,°C,°C,,,,,,,,
15:30,8/1/2025 15:30,18,13.2,58.1,1045,16.6,9.6,point,,,,,,,
15:35,8/1/2025 15:35,18,13.2,57.9,1045.1,16.5,9.6,point,,,,,,,
15:40,8/1/2025 15:40,18,13.1,57.8,1045,16.5,9.5,point,,,,,,,
15:45,8/1/2025 15:45,18,13.2,57.8,1044.9,16.5,9.6,point,,,,,,,
15:50,8/1/2025 15:50,18,13.1,57.8,1045,16.5,9.5,point,,,,,,,
15:55,8/1/2025 15:55,18,13.2,57.8,1044.9,16.5,9.6,point,,,,,,,
16:00,8/1/2025 16:00,18,13.2,57.9,1045,16.6,9.6,point,,,,,,,
16:05,8/1/2025 16:05,18,13.2,57.8,1045.1,16.6,9.6,point,,,,,,,
16:10,8/1/2025 16:10,18,13.1,57.6,1045,16.5,9.5,point,,,,,,,
16:15,8/1/2025 16:15,18,13.1,57.7,1044.7,16.5,9.5,point,,,,,,,
16:20,8/1/2025 16:20,17.9,13,57.5,1045,16.4,9.4,point,,,,,,,
16:25,8/1/2025 16:25,18,13.1,57.8,1045,16.5,9.5,point,,,,,,,
16:30,8/1/2025 16:30,18,13.1,57.7,1045.3,16.5,9.5,point,,,,,,,
16:35,8/1/2025 16:35,18.9,15.5,70.5,1046.2,18.2,13.4,point,,,,,,,
16:40,8/1/2025 16:40,19.9,16.8,73.2,1046.1,19.9,15,point,,,,,,,
,,,,,,,,,,,,,,,
,Average,18.07575758,13.29393939,,,,,,,,,,,,
,90th percentile,18.28,13.58,,,,,,,,,,,,
,Peak,19,15.3,,,,,,,,,,,,
