Customer,Job Site,Make,Model,Serial Number,Unit Number,Inspection Date,Entered Date,SMU,Form,Question Group,Question,Reading,Eval
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Compartment Temperature,Record the Engine Oil temp 70-75c,75,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The CO ppm",6,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO ppm",4,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO2 ppm",0.1,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NOX ppm",4.1,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The CO ppm",6,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO ppm",4,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO2 ppm",0.2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NOX ppm",4.2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The CO ppm",0,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO ppm",0,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO2 ppm",0.2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0723,LD078,28/03/2025,29/03/2025,11803,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NOX ppm",0.2,A
