Machine Number,Category,Reading
LD084,HIGH IDLE NO,47
LD084,HIGH IDLE NO2,0.9
LD084,HIGH IDLE NOX,2.9
LD084,STALL CO,1
LD084,STALL NO,360
LD084,STALL NO2,30
LD084,STALL NOX,190.4
LD084,- DPM mg/m3,7510
LD085,IDLE CO,3
LD085,IDLE NO,10
LD085,IDLE NO2,3.5
LD085,IDLE NOX,13.5
LD085,HIGH IDLE CO,1
LD085,HIGH IDLE NO,4
LD085,HIGH IDLE NO2,2.7
LD085,HIGH IDLE NOX,6.7
LD085,STALL CO,113
LD085,STALL NO,397
LD085,STALL NO2,74.2
LD085,STALL NOX,471.2
LD085,- DPM mg/m3,127900
LD083,IDLE CO,36
LD083,IDLE NO,129
LD083,IDLE NO2,69.3
LD083,IDLE NOX,198.3
LD083,HIGH IDLE CO,36
LD083,HIGH IDLE NO,139
LD083,HIGH IDLE NO2,74
LD083,HIGH IDLE NOX,213
LD083,STALL CO,56
LD083,STALL NO,212
LD083,STALL NO2,49.4
LD083,STALL NOX,261.4
LD078,IDLE CO,1
LD078,IDLE NO,1
LD078,IDLE NO2,1.1
LD078,IDLE NOX,2.1
LD078,HIGH IDLE CO,5
LD078,HIGH IDLE NO,27
LD078,HIGH IDLE NO2,6.7
LD078,HIGH IDLE NOX,33.7
LD078,STALL CO,115
LD078,STALL NO,224
LD078,STALL NO2,22
LD078,STALL NOX,246
LD078,- DPM mg/m3,880
LD076,IDLE CO,0
LD076,IDLE NO,12
LD076,IDLE NO2,4.3
LD076,IDLE NOX,16.3
LD076,HIGH IDLE CO,0
LD076,HIGH IDLE NO,21
LD076,HIGH IDLE NO2,1.4
LD076,HIGH IDLE NOX,22.4
LD076,STALL CO,0
LD076,STALL NO,259
LD076,STALL NO2,8
LD076,STALL NOX,267
LD076,- DPM mg/m3,180
LD070,IDLE CO,4
LD070,IDLE NO,3
LD070,IDLE NO2,2
LD070,IDLE NOX,4
LD070,HIGH IDLE CO,2
LD070,HIGH IDLE NO,38
LD070,HIGH IDLE NO2,4
LD070,HIGH IDLE NOX,42
LD070,STALL CO,169
LD070,STALL NO,406
LD070,STALL NO2,52
LD070,STALL NOX,458
LD070,- DPM mg/m3,880
LD085,IDLE CO,3
LD085,IDLE NO,7
LD085,IDLE NO2,0.5
LD085,IDLE NOX,4.5
LD085,HIGH IDLE CO,5
LD085,HIGH IDLE NO,23
LD085,HIGH IDLE NO2,9
LD085,HIGH IDLE NOX,32
LD085,STALL CO,7
LD085,STALL NO,78
LD085,STALL NO2,0.5
LD085,STALL NOX,4.5
LD085,- DPM mg/m3,0
LD079,IDLE CO,19
LD079,IDLE NO,31
LD079,IDLE NO2,0.9
LD079,IDLE NOX,31.9
LD079,HIGH IDLE CO,18
LD079,HIGH IDLE NO,33
LD079,HIGH IDLE NO2,1.7
LD079,HIGH IDLE NOX,34.7
LD079,STALL CO,25
LD079,STALL NO,48
LD079,STALL NO2,1.4
LD079,STALL NOX,49.4
LD079,- DPM mg/m3,2110
LD083,IDLE CO,30
LD083,IDLE NO,500
LD083,IDLE NO2,58
LD083,IDLE NOX,558
LD083,HIGH IDLE CO,31
LD083,HIGH IDLE NO,410
LD083,HIGH IDLE NO2,2.8
LD083,HIGH IDLE NOX,412.8
LD083,STALL CO,65
LD083,STALL NO,812
LD083,STALL NO2,0
LD083,STALL NOX,812
LD083,- DPM mg/m3,0
LD076,IDLE CO,3
LD076,IDLE NO,25
LD076,IDLE NO2,0
LD076,IDLE NOX,2
LD076,HIGH IDLE CO,3
LD076,HIGH IDLE NO,2
LD076,HIGH IDLE NO2,0
LD076,HIGH IDLE NOX,2
LD076,STALL CO,3
LD076,STALL NO,2
LD076,STALL NO2,0
LD076,STALL NOX,2
LD086,IDLE CO,0
LD086,IDLE NO,1
LD086,IDLE NO2,0.3
LD086,IDLE NOX,1.3
LD086,HIGH IDLE CO,0
LD086,HIGH IDLE NO,9
LD086,HIGH IDLE NO2,1.2
LD086,HIGH IDLE NOX,10.2
LD086,STALL CO,1
LD086,STALL NO,57
LD086,STALL NO2,23.4
LD086,STALL NOX,80.4
LD086,- DPM mg/m3,0
LD071,IDLE CO,0
LD071,IDLE NO,0
LD071,IDLE NO2,0.8
LD071,IDLE NOX,0.8
LD071,HIGH IDLE CO,0
LD071,HIGH IDLE NO,9
LD071,HIGH IDLE NO2,3.9
LD071,HIGH IDLE NOX,12.9
LD071,STALL CO,12
LD071,STALL NO,10
LD071,STALL NO2,47
LD071,STALL NOX,157
LD071,- DPM mg/m3,530
LD084,IDLE CO,9
LD084,IDLE NO,30
LD084,IDLE NO2,3.79
LD084,IDLE NOX,15.8
LD084,HIGH IDLE CO,15
LD084,HIGH IDLE NO,14.8
LD084,HIGH IDLE NO2,29.8
LD084,HIGH IDLE NOX,53.9
LD084,STALL CO,70
LD084,STALL NO,375
LD084,STALL NO2,57.7
LD084,STALL NOX,432.7
LD083,IDLE CO,3
LD083,IDLE NO,41
LD083,IDLE NO2,21.5
LD083,IDLE NOX,62.5
LD083,HIGH IDLE CO,4
LD083,HIGH IDLE NO,82
LD083,HIGH IDLE NO2,52.1
LD083,HIGH IDLE NOX,134
LD083,STALL CO,1
LD083,STALL NO,40
LD083,STALL NO2,37.8
LD083,STALL NOX,77.8
LD083,- DPM mg/m3,40
LD082,IDLE CO,42
LD082,IDLE NO,189
LD082,IDLE NO2,17.8
LD082,IDLE NOX,206.8
LD082,HIGH IDLE CO,30
LD082,HIGH IDLE NO,161
LD082,HIGH IDLE NO2,18
LD082,HIGH IDLE NOX,179
LD082,STALL CO,260
LD082,STALL NO,232
LD082,STALL NO2,19
LD082,STALL NOX,251
LD082,- DPM mg/m3,300
LD086,IDLE CO,4
LD086,IDLE NO,1
LD086,IDLE NO2,0.5
LD086,IDLE NOX,1.6
LD086,HIGH IDLE CO,28
LD086,HIGH IDLE NO,47
LD086,HIGH IDLE NO2,0.7
LD086,HIGH IDLE NOX,47.7
LD086,STALL CO,21
LD086,STALL NO,54
LD086,STALL NO2,0.7
LD086,STALL NOX,54.7
LD086,- DPM mg/m3,30
LD072,IDLE CO,0
LD072,IDLE NO,0
LD072,IDLE NO2,0.7
LD072,IDLE NOX,0.7
LD072,HIGH IDLE CO,0
LD072,HIGH IDLE NO,0
LD072,HIGH IDLE NO2,1.4
LD072,HIGH IDLE NOX,1.4
LD072,STALL CO,12
LD072,STALL NO,0
LD072,STALL NO2,2.3
LD072,STALL NOX,2.3
LD072,- DPM mg/m3,10
LD083,IDLE CO,23
LD083,IDLE NO,74
LD083,IDLE NO2,4.7
LD083,IDLE NOX,78.7
LD083,HIGH IDLE CO,41
LD083,HIGH IDLE NO,117
LD083,HIGH IDLE NO2,8.6
LD083,HIGH IDLE NOX,125.6
LD083,STALL CO,13
LD083,STALL NO,30
LD083,STALL NO2,8
LD083,STALL NOX,38
LD083,- DPM mg/m3,300
LD086,IDLE CO,19
LD086,IDLE NO,76
LD086,IDLE NO2,88.2
LD086,IDLE NOX,1645.2
LD086,HIGH IDLE CO,17
LD086,HIGH IDLE NO,85
LD086,HIGH IDLE NO2,74.2
LD086,HIGH IDLE NOX,159.2
LD086,STALL CO,2
LD086,STALL NO,8
LD086,STALL NO2,12.7
LD086,STALL NOX,20.7
LD086,- DPM mg/m3,1700
LD079,IDLE CO,15
LD079,IDLE NO,98
LD079,IDLE NO2,26
LD079,IDLE NOX,124
LD079,HIGH IDLE CO,21
LD079,HIGH IDLE NO,153
LD079,HIGH IDLE NO2,28.2
LD079,HIGH IDLE NOX,181.7
LD079,STALL CO,43
LD079,STALL NO,209
LD079,STALL NO2,21.6
LD079,STALL NOX,230.6
LD079,- DPM mg/m3,0
LD071,IDLE CO,0
LD071,IDLE NO,0
LD071,IDLE NO2,0.3
LD071,IDLE NOX,0.3
LD071,HIGH IDLE CO,1
LD071,HIGH IDLE NO,2
LD071,HIGH IDLE NO2,0.3
LD071,HIGH IDLE NOX,2.3
LD071,STALL CO,4
LD071,STALL NO,9
LD071,STALL NO2,0.6
LD071,STALL NOX,9.6
LD071,- DPM mg/m3,450
LD086,IDLE CO,147
LD086,IDLE NO,241
LD086,IDLE NO2,70.1
LD086,IDLE NOX,311.2
LD086,HIGH IDLE CO,44
LD086,HIGH IDLE NO,136
LD086,HIGH IDLE NO2,37.1
LD086,HIGH IDLE NOX,173.1
LD086,STALL CO,45
LD086,STALL NO,114
LD086,STALL NO2,24.3
LD086,STALL NOX,138.3
LD086,- DPM mg/m3,30
LD085,IDLE CO,91
LD085,IDLE NO,132
LD085,IDLE NO2,8.8
LD085,IDLE NOX,140.8
LD085,HIGH IDLE CO,38
LD085,HIGH IDLE NO,8
LD085,HIGH IDLE NO2,3.6
LD085,HIGH IDLE NOX,11.6
LD085,STALL CO,175
LD085,STALL NO,361
LD085,STALL NO2,53.9
LD085,STALL NOX,414.9
LD085,- DPM mg/m3,80
LD094,IDLE CO,40
LD094,IDLE NO,60
LD094,IDLE NO2,22.5
LD094,IDLE NOX,82.5
LD094,HIGH IDLE CO,59
LD094,HIGH IDLE NO,124
LD094,HIGH IDLE NO2,16.7
LD094,HIGH IDLE NOX,139.7
LD094,STALL CO,58
LD094,STALL NO,124
LD094,STALL NO2,15.7
LD094,STALL NOX,139.7
LD094,- DPM mg/m3,0
LD076,IDLE CO,92
LD076,IDLE NO,148
LD076,IDLE NO2,36.3
LD076,IDLE NOX,184.3
LD076,HIGH IDLE CO,87
LD076,HIGH IDLE NO,217
LD076,HIGH IDLE NO2,11.7
LD076,HIGH IDLE NOX,228.7
LD076,STALL CO,81
LD076,STALL NO,203
LD076,STALL NO2,5.5
LD076,STALL NOX,208.5
LD076,- DPM mg/m3,2540
LD084,IDLE CO,3
LD084,IDLE NO,3
LD084,IDLE NO2,1.1
LD084,IDLE NOX,4.1
LD084,HIGH IDLE CO,8
LD084,HIGH IDLE NO,3
LD084,HIGH IDLE NO2,1.2
LD084,HIGH IDLE NOX,4.2
LD084,STALL CO,7.1
LD084,STALL NO,110
LD084,STALL NO2,7.5
LD084,STALL NOX,117.5
LD084,- DPM mg/m3,420
LD086,IDLE CO,0
LD086,IDLE NO,1
LD086,IDLE NO2,0.2
LD086,IDLE NOX,1.2
LD086,HIGH IDLE CO,0
LD086,HIGH IDLE NO,0
LD086,HIGH IDLE NO2,0.1
LD086,HIGH IDLE NOX,0.1
LD086,STALL CO,2
LD086,STALL NO,4
LD086,STALL NO2,6.5
LD086,STALL NOX,10.5
LD086,- DPM mg/m3,10
LD083,IDLE CO,2
LD083,IDLE NO,1
LD083,IDLE NO2,1.1
LD083,IDLE NOX,2.1
LD083,HIGH IDLE CO,4
LD083,HIGH IDLE NO,7
LD083,HIGH IDLE NO2,2.9
LD083,HIGH IDLE NOX,9.9
LD083,STALL CO,4
LD083,STALL NO,7
LD083,STALL NO2,4.9
LD083,STALL NOX,11.9
LD083,- DPM mg/m3,400
LD094,IDLE CO,3
LD094,IDLE NO,6
LD094,IDLE NO2,9.2
LD094,IDLE NOX,15.2
LD094,HIGH IDLE CO,4
LD094,HIGH IDLE NO,14
LD094,HIGH IDLE NO2,11.1
LD094,HIGH IDLE NOX,25.1
LD094,STALL CO,11
LD094,STALL NO,29
LD094,STALL NO2,24.5
LD094,STALL NOX,53.5
LD094,- DPM mg/m3,60
LD085,IDLE CO,5
LD085,IDLE NO,3
LD085,IDLE NO2,1.2
LD085,IDLE NOX,4.2
LD085,HIGH IDLE CO,9
LD085,HIGH IDLE NO,17
LD085,HIGH IDLE NO2,3
LD085,HIGH IDLE NOX,20
LD085,STALL CO,76
LD085,STALL NO,207
LD085,STALL NO2,39
LD085,STALL NOX,246
LD085,- DPM mg/m3,290
LD079,IDLE CO,35
LD079,IDLE NO,47
LD079,IDLE NO2,3.9
LD079,IDLE NOX,50.9
LD079,HIGH IDLE CO,232
LD079,HIGH IDLE NO,392
LD079,HIGH IDLE NO2,61.7
LD079,HIGH IDLE NOX,453.7
LD079,STALL CO,242
LD079,STALL NO,386
LD079,STALL NO2,60.2
LD079,STALL NOX,446.2
LD079,- DPM mg/m3,200
LD084,IDLE CO,1
LD084,IDLE NO,0
LD084,IDLE NO2,0
LD084,IDLE NOX,0
LD084,HIGH IDLE CO,2
LD084,HIGH IDLE NO,1
LD084,HIGH IDLE NO2,0.4
LD084,HIGH IDLE NOX,1.4
LD084,STALL CO,2
LD084,STALL NO,7
LD084,STALL NO2,1.1
LD084,STALL NOX,8.1
LD084,- DPM mg/m3,500
LD071,IDLE CO,0
LD071,IDLE NO,0
LD071,IDLE NO2,0.2
LD071,IDLE NOX,0.2
LD071,HIGH IDLE CO,0
LD071,HIGH IDLE NO,8
LD071,HIGH IDLE NO2,4.6
LD071,HIGH IDLE NOX,12.6
LD071,STALL CO,0
LD071,STALL NO,131
LD071,STALL NO2,6
LD071,STALL NOX,137
LD071,- DPM mg/m3,180
LD083,- DPM mg/m3,2100
LD076,IDLE CO,0
LD076,IDLE NO,0
LD076,IDLE NO2,0
LD076,IDLE NOX,0
LD076,HIGH IDLE CO,0
LD076,HIGH IDLE NO,0
LD076,HIGH IDLE NO2,0
LD076,HIGH IDLE NOX,0
LD076,STALL CO,2
LD076,STALL NO,9
LD076,STALL NO2,0
LD076,STALL NOX,9
LD076,- DPM mg/m3,400
LD070,IDLE CO,14
LD070,IDLE NO,3
LD070,IDLE NO2,10
LD070,IDLE NOX,13
LD070,HIGH IDLE CO,48
LD070,HIGH IDLE NO,33
LD070,HIGH IDLE NO2,27
LD070,HIGH IDLE NOX,60
LD070,STALL CO,137
LD070,STALL NO,272
LD070,STALL NO2,248
LD070,STALL NOX,520
LD070,IDLE CO,3
LD070,IDLE NO,1
LD070,IDLE NO2,0.8
LD070,IDLE NOX,1.8
LD070,HIGH IDLE CO,5
LD070,HIGH IDLE NO,21
LD070,HIGH IDLE NO2,17.6
LD070,HIGH IDLE NOX,38.6
LD070,STALL CO,34
LD070,STALL NO,75
LD070,STALL NO2,58.1
LD070,STALL NOX,133.1
LD070,- DPM mg/m3,5430
LD094,IDLE CO,54
LD094,IDLE NO,117
LD094,IDLE NO2,18.5
LD094,IDLE NOX,135.5
LD094,HIGH IDLE CO,14
LD094,HIGH IDLE NO,38
LD094,HIGH IDLE NO2,17.3
LD094,HIGH IDLE NOX,55.3
LD094,STALL CO,176
LD094,STALL NO,441
LD094,STALL NO2,98.6
LD094,STALL NOX,539.6
LD094,- DPM mg/m3,0
LD076,IDLE CO,12
LD076,IDLE NO,43
LD076,IDLE NO2,17.4
LD076,IDLE NOX,60.4
LD076,HIGH IDLE CO,10
LD076,HIGH IDLE NO,37
LD076,HIGH IDLE NO2,18
LD076,HIGH IDLE NOX,55.7
LD076,STALL CO,20
LD076,STALL NO,80
LD076,STALL NO2,27
LD076,STALL NOX,107
LD085,IDLE CO,23
LD085,IDLE NO,60
LD085,IDLE NO2,129
LD085,IDLE NOX,72.9
LD085,HIGH IDLE CO,24
LD085,HIGH IDLE NO,105
LD085,HIGH IDLE NO2,17.9
LD085,HIGH IDLE NOX,122.9
LD085,STALL CO,165
LD085,STALL NO,368
LD085,STALL NO2,75.6
LD085,STALL NOX,443.6
LD085,- DPM mg/m3,1290
LD094,IDLE CO,1
LD094,IDLE NO,1
LD094,IDLE NO2,1
LD094,IDLE NOX,2
LD094,HIGH IDLE CO,274
LD094,HIGH IDLE NO,3
LD094,HIGH IDLE NO2,1.8
LD094,HIGH IDLE NOX,4.8
LD094,STALL CO,14
LD094,STALL NO,2
LD094,STALL NO2,1
LD094,STALL NOX,2.8
LD094,- DPM mg/m3,2370
LD083,IDLE CO,9
LD083,IDLE NO,24
LD083,IDLE NO2,5.4
LD083,IDLE NOX,29.4
LD083,HIGH IDLE CO,3
LD083,HIGH IDLE NO,15
LD083,HIGH IDLE NO2,2
LD083,HIGH IDLE NOX,17
LD083,STALL CO,86
LD083,STALL NO,203
LD083,STALL NO2,4.4
LD083,STALL NOX,207.4
LD083,- DPM mg/m3,166880
LD086,IDLE CO,5
LD086,IDLE NO,9
LD086,IDLE NO2,1.6
LD086,IDLE NOX,10.6
LD086,HIGH IDLE CO,1
LD086,HIGH IDLE NO,12
LD086,HIGH IDLE NO2,3.5
LD086,HIGH IDLE NOX,15.5
LD086,STALL CO,101
LD086,STALL NO,169
LD086,STALL NO2,0
LD086,STALL NOX,169
LD086,- DPM mg/m3,2160
LD085,IDLE CO,8
LD085,IDLE NO,11
LD085,IDLE NO2,19.3
LD085,IDLE NOX,30.3
LD085,HIGH IDLE CO,16
LD085,HIGH IDLE NO,35
LD085,HIGH IDLE NO2,20.7
LD085,HIGH IDLE NOX,56
LD085,STALL CO,18
LD085,STALL NO,33
LD085,STALL NO2,21.1
LD085,STALL NOX,84.1
LD085,- DPM mg/m3,340
LD070,IDLE CO,1
LD070,IDLE NO,0
LD070,IDLE NO2,0.6
LD070,IDLE NOX,0.6
LD070,HIGH IDLE CO,16
LD070,HIGH IDLE NO,15
LD070,HIGH IDLE NO2,2
LD070,HIGH IDLE NOX,17
LD070,STALL CO,51
LD070,STALL NO,81
LD070,STALL NO2,1.5
LD070,STALL NOX,82.5
LD070,- DPM mg/m3,830
LD083,IDLE CO,4
LD083,IDLE NO,4
LD083,IDLE NO2,1.5
LD083,IDLE NOX,5.5
LD083,HIGH IDLE CO,5
LD083,HIGH IDLE NO,32
LD083,HIGH IDLE NO2,2.9
LD083,HIGH IDLE NOX,34.9
LD083,STALL CO,128
LD083,STALL NO,359
LD083,STALL NO2,8
LD083,STALL NOX,367
LD083,- DPM mg/m3,30
LD086,IDLE CO,6
LD086,IDLE NO,1
LD086,IDLE NO2,0.8
LD086,IDLE NOX,1.8
LD086,HIGH IDLE CO,18
LD086,HIGH IDLE NO,32
LD086,HIGH IDLE NO2,15.6
LD086,HIGH IDLE NOX,47.6
LD086,STALL CO,120
LD086,STALL NO,316
LD086,STALL NO2,44.4
LD086,STALL NOX,354.4
LD086,- DPM mg/m3,890
LD084,IDLE CO,5
LD084,IDLE NO,13
LD084,IDLE NO2,0.4
LD084,IDLE NOX,13.4
LD084,HIGH IDLE CO,14
LD084,HIGH IDLE NO,2
LD084,HIGH IDLE NO2,0.2
LD084,HIGH IDLE NOX,2.2
LD084,STALL CO,8
LD084,STALL NO,0
LD084,STALL NO2,0.6
LD084,STALL NOX,0.6
LD084,- DPM mg/m3,530
LD078,IDLE CO,0
LD078,IDLE NO,2
LD078,IDLE NO2,9.4
LD078,IDLE NOX,11.4
LD078,HIGH IDLE CO,0
LD078,HIGH IDLE NO,82
LD078,HIGH IDLE NO2,90.1
LD078,HIGH IDLE NOX,172.1
LD078,STALL CO,0
LD078,STALL NO,21
LD078,STALL NO2,38.5
LD078,STALL NOX,59.5
LD078,- DPM mg/m3,130
LD070,- DPM mg/m3,1060
LD084,- DPM mg/m3,1330
LD094,IDLE CO,60
LD094,IDLE NO,127
LD094,IDLE NO2,75.1
LD094,IDLE NOX,202.1
LD094,HIGH IDLE CO,50
LD094,HIGH IDLE NO,133
LD094,HIGH IDLE NO2,48.8
LD094,HIGH IDLE NOX,181
LD094,STALL CO,68
LD094,STALL NO,189
LD094,STALL NO2,30.7
LD094,STALL NOX,219
LD094,- DPM mg/m3,110
LD085,IDLE CO,15
LD085,IDLE NO,20
LD085,IDLE NO2,21.7
LD085,IDLE NOX,41.7
LD085,HIGH IDLE CO,62
LD085,HIGH IDLE NO,121
LD085,HIGH IDLE NO2,76.9
LD085,HIGH IDLE NOX,197.9
LD085,STALL CO,80
LD085,STALL NO,195
LD085,STALL NO2,72.9
LD085,STALL NOX,267.9
LD085,- DPM mg/m3,330
LD078,IDLE CO,134
LD078,IDLE NO,220
LD078,IDLE NO2,121
LD078,IDLE NOX,341
LD078,HIGH IDLE CO,69
LD078,HIGH IDLE NO,182
LD078,HIGH IDLE NO2,58.3
LD078,HIGH IDLE NOX,240.3
LD078,STALL CO,116
LD078,STALL NO,291
LD078,STALL NO2,60.7
LD078,STALL NOX,351.7
LD078,- DPM mg/m3,310
LD094,IDLE CO,71
LD094,IDLE NO,145
LD094,IDLE NO2,13.9
LD094,IDLE NOX,159
LD094,HIGH IDLE CO,73
LD094,HIGH IDLE NO,105
LD094,HIGH IDLE NO2,47.1
LD094,HIGH IDLE NOX,151.8
LD094,STALL CO,293
LD094,STALL NO,423
LD094,STALL NO2,63.9
LD094,STALL NOX,467.9
LD094,- DPM mg/m3,530
LD084,IDLE CO,14
LD084,IDLE NO,25
LD084,IDLE NO2,3.3
LD084,IDLE NOX,28.3
LD084,HIGH IDLE CO,47
LD084,HIGH IDLE NO,93
LD084,HIGH IDLE NO2,5.2
LD084,HIGH IDLE NOX,98.2
LD084,STALL CO,104
LD084,STALL NO,208
LD084,STALL NO2,1.9
LD084,STALL NOX,209.9
LD084,- DPM mg/m3,1330
LD086,- DPM mg/m3,10
LD083,IDLE CO,4.2
LD083,IDLE NO,4
LD083,IDLE NO2,0.5
LD083,IDLE NOX,8.2
LD083,HIGH IDLE CO,17
LD083,HIGH IDLE NO,32
LD083,HIGH IDLE NO2,0.8
LD083,HIGH IDLE NOX,32.8
LD083,STALL CO,26
LD083,STALL NO,38
LD083,STALL NO2,0.3
LD083,STALL NOX,38.3
LD083,- DPM mg/m3,0
LD094,IDLE CO,138
LD094,IDLE NO,175
LD094,IDLE NO2,16.9
LD094,IDLE NOX,191.9
LD094,HIGH IDLE CO,117
LD094,HIGH IDLE NO,217
LD094,HIGH IDLE NO2,30.5
LD094,HIGH IDLE NOX,247.5
LD094,STALL CO,381
LD094,STALL NO,570
LD094,STALL NO2,43.6
LD094,STALL NOX,613.6
LD094,- DPM mg/m3,50
LD085,IDLE CO,21
LD085,IDLE NO,8
LD085,IDLE NO2,4.5
LD085,IDLE NOX,12.5
LD085,HIGH IDLE CO,32
LD085,HIGH IDLE NO,33
LD085,HIGH IDLE NO2,7.1
LD085,HIGH IDLE NOX,40.7
LD085,STALL CO,148
LD085,STALL NO,297
LD085,STALL NO2,23.9
LD085,STALL NOX,320.9
LD085,- DPM mg/m3,150
LD084,IDLE CO,4
LD084,IDLE NO,11
LD084,IDLE NO2,4.1
LD084,IDLE NOX,15.1
LD084,HIGH IDLE CO,37
LD084,HIGH IDLE NO,111
LD084,HIGH IDLE NO2,4.6
LD084,HIGH IDLE NOX,115
LD084,STALL CO,44
LD084,STALL NO,106
LD084,STALL NO2,1.7
LD084,STALL NOX,107.7
LD084,- DPM mg/m3,600
LD071,IDLE CO,43
LD071,IDLE NO,67
LD071,IDLE NO2,5.6
LD071,IDLE NOX,2.6
LD071,HIGH IDLE CO,43
LD071,HIGH IDLE NO,80
LD071,HIGH IDLE NO2,14.4
LD071,HIGH IDLE NOX,94.4
LD071,STALL CO,38
LD071,STALL NO,91
LD071,STALL NO2,31.4
LD071,STALL NOX,122.4
LD071,- DPM mg/m3,0
LD078,IDLE CO,79
LD078,IDLE NO,113
LD078,IDLE NO2,13
LD078,IDLE NOX,126
LD078,HIGH IDLE CO,46
LD078,HIGH IDLE NO,64
LD078,HIGH IDLE NO2,21
LD078,HIGH IDLE NOX,85
LD078,STALL CO,65
LD078,STALL NO,144
LD078,STALL NO2,56.1
LD078,STALL NOX,200.1
LD078,- DPM mg/m3,1690
LD083,IDLE CO,12
LD083,IDLE NO,16
LD083,IDLE NO2,1.8
LD083,IDLE NOX,17.8
LD083,HIGH IDLE CO,51
LD083,HIGH IDLE NO,15
LD083,HIGH IDLE NO2,5.1
LD083,HIGH IDLE NOX,20.1
LD083,STALL CO,98
LD083,STALL NO,78
LD083,STALL NO2,10
LD083,STALL NOX,88
LD083,- DPM mg/m3,54650
LD085,IDLE CO,40
LD085,IDLE NO,73
LD085,IDLE NO2,56.4
LD085,IDLE NOX,129.4
LD085,HIGH IDLE CO,47
LD085,HIGH IDLE NO,107
LD085,HIGH IDLE NO2,64.8
LD085,HIGH IDLE NOX,171.8
LD085,STALL CO,66
LD085,STALL NO,144
LD085,STALL NO2,53.7
LD085,STALL NOX,197.7
LD085,- DPM mg/m3,0
LD071,IDLE CO,16.01
