Machine Number,Category,Reading
LD078,IDLE CO,0
LD078,IDLE NO,1
LD078,IDLE NO2,0.8
LD078,IDLE NOX,1.8
LD078,HIGH IDLE CO,0
LD078,HIGH IDLE NO,21
LD078,HIGH IDLE NO2,13.4
LD078,HIGH IDLE NOX,34.4
LD078,STALL CO,0
LD078,STALL NO,55
LD078,STALL NO2,30.8
LD078,STALL NOX,65.8
LD078,- DPM mg/m3,158000
LD082,IDLE CO,5
LD082,IDLE NO,22
LD082,IDLE NO2,1.2
LD082,IDLE NOX,23.2
LD082,HIGH IDLE CO,3
LD082,HIGH IDLE NO,4
LD082,HIGH IDLE NO2,1.8
LD082,HIGH IDLE NOX,5.8
LD082,STALL CO,43
LD082,STALL NO,167
LD082,STALL NO2,4.2
LD082,STALL NOX,171.2
LD082,- DPM mg/m3,0
LD079,IDLE CO,0
LD079,IDLE NO,1
LD079,IDLE NO2,0.6
LD079,IDLE NOX,1.6
LD079,HIGH IDLE CO,6
LD079,HIGH IDLE NO,29
LD079,HIGH IDLE NO2,2.9
LD079,HIGH IDLE NOX,31.9
LD079,STALL CO,62
LD079,STALL NO,144
LD079,STALL NO2,7.8
LD079,STALL NOX,151.8
LD070,IDLE CO,0
LD070,IDLE NO,23
LD070,IDLE NO2,8.1
LD070,IDLE NOX,31.1
LD070,HIGH IDLE CO,0
LD070,HIGH IDLE NO,65
LD070,HIGH IDLE NO2,10
LD070,HIGH IDLE NOX,75
LD070,STALL CO,1
LD070,STALL NO,380
LD070,STALL NO2,30.8
LD070,STALL NOX,410.8
LD070,- DPM mg/m3,760
LD083,IDLE CO,0
LD083,IDLE NO,1
LD083,IDLE NO2,0.5
LD083,IDLE NOX,1.5
LD083,HIGH IDLE CO,0
LD083,HIGH IDLE NO,1
LD083,HIGH IDLE NO2,0.6
LD083,HIGH IDLE NOX,1.6
LD083,STALL CO,0
LD083,STALL NO,1
LD083,STALL NO2,0.6
LD083,STALL NOX,1.6
LD083,- DPM mg/m3,100
LD086,IDLE CO,0
LD086,IDLE NO,0
LD086,IDLE NO2,2.3
LD086,IDLE NOX,2.3
LD086,HIGH IDLE CO,0
LD086,HIGH IDLE NO,2
LD086,HIGH IDLE NO2,16.9
LD086,HIGH IDLE NOX,18.9
LD086,STALL CO,0
LD086,STALL NO,254
LD086,STALL NO2,139.4
LD086,STALL NOX,393.4
LD086,- DPM mg/m3,0
LD078,IDLE CO,1
LD078,IDLE NO,0
LD078,IDLE NO2,0.8
LD078,IDLE NOX,0.8
LD078,HIGH IDLE CO,0
LD078,HIGH IDLE NO,4
LD078,HIGH IDLE NO2,10
LD078,HIGH IDLE NOX,5
LD078,STALL CO,1
LD078,STALL NO,30
LD078,STALL NO2,18.2
LD078,STALL NOX,48.2
LD078,- DPM mg/m3,486000
LD071,IDLE CO,0
LD071,IDLE NO,1
LD071,IDLE NO2,0.3
LD071,IDLE NOX,1.3
LD071,HIGH IDLE CO,2
LD071,HIGH IDLE NO,7
LD071,HIGH IDLE NO2,0.7
LD071,HIGH IDLE NOX,7.7
LD071,STALL CO,0
LD071,STALL NO,17
LD071,STALL NO2,20
LD071,STALL NOX,38
LD071,- DPM mg/m3,1040
LD085,IDLE CO,0
LD085,IDLE NO,0
LD085,IDLE NO2,0.1
LD085,IDLE NOX,0.1
LD085,HIGH IDLE CO,0
LD085,HIGH IDLE NO,1
LD085,HIGH IDLE NO2,0.9
LD085,HIGH IDLE NOX,1.9
LD085,STALL CO,1
LD085,STALL NO,4
LD085,STALL NO2,1.5
LD085,STALL NOX,5.5
LD085,- DPM mg/m3,0
LD084,IDLE CO,0
LD084,IDLE NO,12
LD084,IDLE NO2,6.7
LD084,IDLE NOX,17.2
LD084,HIGH IDLE CO,0
