Customer,Job Site,Make,Model,Serial Number,Unit Number,Inspection Date,Entered Date,SMU,Form,Question Group,Question,Reading,Eval
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Compartment Temperature,Record the Engine Oil temp 70-75c,80,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The CO ppm",0,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO ppm",5,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO2 ppm",2.2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NOX ppm",7.2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The CO ppm",0,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO ppm",53,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO2 ppm",10.8,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NOX ppm",63.8,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The CO ppm",2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO ppm",177,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO2 ppm",10,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NOX ppm",187,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,HV Diesel Particulate Emission Testing,Emmissions Particulate Test Record,Record the Engine Oil temp 70-75c,80,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,8/4/2025,9/4/2025,15485,HV Diesel Particulate Emission Testing,Emmissions Particulate Test Record,"HV Diesel particulate, mg/m3 EC",1470,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,2/5/2025,3/5/2025,15717,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Compartment Temperature,Record the Engine Oil temp 70-75c,80,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,2/5/2025,3/5/2025,15717,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The CO ppm",1,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,2/5/2025,3/5/2025,15717,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO ppm",45,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,2/5/2025,3/5/2025,15717,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO2 ppm",12.4,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,2/5/2025,3/5/2025,15717,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NOX ppm",57.4,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,2/5/2025,3/5/2025,15717,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The CO ppm",2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG19URE0587,LD076,2/5/2025,3/5/2025,15717,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO ppm",54,A
